"Ambagaratur,Karaikal","10.9610523,79.720391",,,
"Edatheru,Karaikal","10.9469041,79.8333164",,,
Karukkankudy(Nedungadu),"10.9564661,79.7797584",,,
"Keezhaiyur,Karaikal","10.8643704,79.8238164",,,
"Kizhamanai,Puducherry","10.9045918,79.7720422",,,
Kottucherry East,"10.962368,79.8324403",,,
Kottucherry West,"10.958577,79.8179353",,,
Kurumbagarampet,"10.9734426,79.7500674",,,
Melakasakudy,"10.9575972,79.782868",,,
Nedungadu,"10.9666678,79.7739161",,,
"Nallambal,Puducherry","10.9423276,79.7486304",,,
Neravi East,"10.8983664,79.8265768",,,
Neravi West,"10.886604,79.8014293",,,
"Pettai,Karaikal","10.9151334,79.7719638",,,
"Ponbethy,+Puducherry","10.9698868,79.7730198  {10.9753 79.772865} ",,,
"Poovam,+Karaikal","10.9929292,79.8247289",,,
"Sellur,+Puducherry","10.9110234,79.7731787",,,
"Sethur,+Puducherry","10.9337206,79.7396901",,,
Surakkudy(Nedungadu),"10.961001,79.7646333",,,
T R Pattinam North,"10.875273,79.8282873",,,
T R Pattinam South,"10.861378,79.8228543",,,
Thirunallur North,"10.942266,79.7809873",,,
Thirunallur South,"10.919647,79.7919823",,,
"Thiruvettakudy,Puducherry","10.9790266,79.8462337",,,
Vanjoor,"10.8394444,79.8380891",,,
"Varichikudy,Puducherry","10.9625405,79.8165902",,,
"Vizhidiyur,Karaikal","10.9047665,79.7909362",,,
"Karaikal,+Puducherry","10.930832,79.8081934,13",,,